"Entered statistic"	"p-value"	"ppr"	"ppr half"	"pp33%"	"pp33 half"	"Z-R"	"Z-R half"	"Z-33"	"z-33 half"
"t(11)=4.62"	0.000740372646893306	0.0148074529378661	0.0296149058757322	0.943828553253352	0.972321596343441	-2.17520302136904	-1.88648363420751	1.58774994840051	1.9160651202717
"t(11)=2.27"	0.0443075528070767	0.886151056141533	NA	0.0629868656696271	NA	1.2063102479976	NA	-1.53017373276716	NA
"t(15)=4.26"	0.000684788377873891	0.0136957675574778	0.0273915351149556	0.939222532728101	0.970484515036173	-2.20589239108629	-1.92059274736565	1.54827984630412	1.88796261182734
"t(15)=2.78"	0.0140136353567111	0.280272707134221	0.560545414268443	0.512101188603638	0.763060708548203	-0.582031572946461	0.152352180084856	0.0303378346120923	0.716182636841816
"t(15)=2.3"	0.0362242973826515	0.724485947653031	NA	0.156566486097313	NA	0.596220242086434	NA	-1.00866989942767	NA
"t(15)=2.14"	0.0491978703546481	0.983957407092961	NA	0.008305402733496	NA	2.14334774347136	NA	-2.39521095058793	NA
"t(15)=3.2"	0.005963848485532	0.11927696971064	0.23855393942128	0.71643936297102	0.862293871491552	-1.17860891664571	-0.710961846900672	0.572296273294716	1.09068331007554
"t(15)=2.19"	0.0447407745326877	0.894815490653753	NA	0.0561187721884832	NA	1.25255137952272	NA	-1.58821582272768	NA
"t(15)=3.56"	0.00285015841211911	0.0570031682423822	0.114006336484764	0.82825079536897	0.916593084668069	-1.58043912950755	-1.20549394799017	0.947275504998841	1.38251433946952
"t(15)=2.4"	0.0298249294648023	0.596498589296046	NA	0.241922188026545	NA	0.244294398525586	NA	-0.700132796161871	NA
"t(15)=2.95"	0.00993342347526438	0.198668469505288	0.397336939010575	0.605843932702033	0.808585187900493	-0.846386908978589	-0.260246188544796	0.26850304075405	0.872694485594857
"t(15)=2.3"	0.0362242973826515	0.724485947653031	NA	0.156566486097313	NA	0.596220242086434	NA	-1.00866989942767	NA
"t(15)=2.5"	0.0245058032465137	0.490116064930275	0.98023212986055	0.321378651387237	0.6704397351488	-0.0247778862478949	2.05856696323327	-0.463847089902749	0.44112772953066
"t(15)=2"	0.0639450072847202	NA	NA	NA	NA	NA	NA	NA	NA
"t(27)=5.61"	0.00000594684815014013	0.000118936963002803	0.000237873926005605	0.998027532873938	0.999058948490496	-3.67497369032901	-3.49405227572106	2.8825317118951	3.1082319321213
